term,zh_cn
Controls_Xbox_Quest_CriticalHit,暴击（长按）
Controls_Xbox_Quest_MoveCamera,移动镜头
Controls_Xbox_Quest_MoveCursor,移动光标
Controls_Xbox_Quest_MoveToRoom,移动到房间
Controls_Xbox_Quest_PipBoy,哔哔小子
Controls_Xbox_Quest_QuestObjectives,任务目标
Controls_Xbox_Quest_SelectDweller,选择居民
Controls_Xbox_Quest_Settings,设置
Controls_Xbox_Quest_Target,瞄准敌人（长按）
Controls_Xbox_Quest_ZoomIn,放大
Controls_Xbox_Quest_ZoomOut,缩小
Controls_Xbox_Vault_Build,建造
Controls_Xbox_Vault_Clipboard,笔记板
Controls_Xbox_Vault_DwellerList,居民列表
Controls_Xbox_Vault_GrabDweller,抓起居民（长按）
Controls_Xbox_Vault_HappinessBonus,幸福度奖励
Controls_Xbox_Vault_MoveCamera,移动镜头
Controls_Xbox_Vault_MoveCursor,移动光标
Controls_Xbox_Vault_NCQ,量子型核子可乐
Controls_Xbox_Vault_PipBoy,哔哔小子
Controls_Xbox_Vault_ResetCamera,重置镜头（点击）
Controls_Xbox_Vault_ResetCamera_Switch,重置镜头（按下）
Controls_Xbox_Vault_Resources,资源（点击）
Controls_Xbox_Vault_Resources_Switch,资源（按下）
Controls_Xbox_Vault_RoomAction,房间操作
Controls_Xbox_Vault_Screenshot,截图
Controls_Xbox_Vault_SelectDweller,选择居民
Controls_Xbox_Vault_Settings,设置
Controls_Xbox_Vault_SurpriseQuest,探索废土地点
Controls_Xbox_Vault_Upgrade,升级房间
Controls_Xbox_Vault_Wasteland,废土
Controls_Xbox_Vault_ZoomIn,放大
Controls_Xbox_Vault_ZoomOut,缩小
Crafting_Cancel_Confirmation,你使用的垃圾将会全部退还，但是花费的瓶盖只能退还一部分。确定吗？
Crafting_Cancel_Ultracite_Confirmation,你使用的Ultracite将全额退款，但仅退还部分花费的瓶盖。你确定吗？
Crafting_Cost,费用
Crafting_Crafted,生产完成！
Crafting_FragmentsCounter,{0}/{1}发现配方碎片
Crafting_FreeJunk_Main1,这是一些配方和垃圾用来制造武器了和服装，这些武器和服装只能通过制造获得。
Crafting_FreeJunk_Main2,有许多物品无法寻获，只能通过制造获取。这些物品会在制造物品选择界面以“制造图标”标示出来。
Crafting_FreeJunk_Title,制作时间到！
Crafting_InProgress,正在生产
Crafting_Junk_Required,需要配方
Crafting_Start_Confirmation,是否制作{0}？
Crafting_Time,时间
DangerousPermission_WriteExternal,辐射：避难所需要使用媒体和文件来下载额外游戏数据并改善用户体验。
Deathclaw_Name,死亡爪
Deathclaw_Name_Plural,死亡爪
Dojo_Upgrade_Info,加快【敏捷】训练速度
Dweller_AtSurpriseQuest,等待中
Dweller_AtTheEntrance,等待中
Dweller_Baby,儿童
Dweller_CoffeeBreak,休息时间
Dweller_Dead,死亡
Dweller_DiedInVault,已死亡
Dweller_DiedInWasteland,命丧废土
Dweller_EmptySlot,拖到此处
Dweller_EmptyTapSlot,点击此处
Dweller_EmptyTapSlot_PC,点击此处
Dweller_EmptyTapSlot_Xbox,按[A]
Dweller_Escaping,逃跑中
Dweller_InWasteland,探索
Dweller_Last_Name,姓
Dweller_LeavingVault,正在离开避难所
Dweller_Name,名
Dweller_ReturnedFromWasteland,从废土回来了
Dweller_ReturningToVault,正在从废土返回
Dweller_ReturningWasteland,返回中
Dweller_RunToWasteland,正在退出避难所
Dweller_Shelter,隐藏
DwellerEquipPanelBonus,奖励
DwellerEquipPanelStats,属性
Emergency_Aliens,外星人袭击
Emergency_Deathclaw,死亡爪
Emergency_Fire,房间着火了
Emergency_Ghouls,狂尸鬼侵袭
Emergency_Molerat,鼹鼠侵袭
Emergency_Radroach,辐射蟑螂肆虐
Emergency_Radscorpions,辐射蝎侵袭
Emergency_Raiders,掠夺者袭击
Emergency_Scorched,焦化兽袭击
Encounet_Progression_Creature1,得赶在这条野狗撕碎我之前把它给解决了！
Encounet_Progression_Creature10,妖怪来了，准备战斗。
Encounet_Progression_Creature11,这头狂尸鬼发狂了！它正向我冲过来！
Encounet_Progression_Creature12,狂尸鬼来了，准备战斗。
Encounet_Progression_Creature13,巨蚁的触须在不停地摆动。它要来大开杀戒了！
Encounet_Progression_Creature14,巨蚁来了，准备战斗。
Encounet_Progression_Creature15,我没看见拾荒者，但他的狗在到处转悠，随时准备咬人！
Encounet_Progression_Creature16,拾荒者的狗来了，准备战斗。
Encounet_Progression_Creature17,巨型工蚁亮出巨钳向我袭来！
Encounet_Progression_Creature18,巨型工蚁来了，准备战斗。
Encounet_Progression_Creature19,我不知道如何杀死这只辐射蝎，但我得试试！
Encounet_Progression_Creature2,野狗来了，准备战斗。
Encounet_Progression_Creature20,辐射蝎来了，准备战斗。
Encounet_Progression_Creature21,巨型兵蚁认为我是威胁！它开始攻击了！
Encounet_Progression_Creature22,巨型兵蚁来了，准备战斗。
Encounet_Progression_Creature23,一只火蚁士兵？看上去它不像是真的能喷火。是时候战斗了！
Encounet_Progression_Creature24,火蚁士兵来了，准备战斗。
Encounet_Progression_Creature25,护卫犬不让我过去。我必须杀了它才能通过！
Encounet_Progression_Creature26,护卫犬来了，准备战斗。
Encounet_Progression_Creature27,从没想过我会怕昆虫，但这只火蚁勇士可不是闹着玩的！
Encounet_Progression_Creature28,火蚁勇士来了，准备战斗。
Encounet_Progression_Creature29,这只泥沼蟹不过就是块长了脚的螃蟹蛋糕！是时候吃点心了！
Encounet_Progression_Creature3,才一只鼹鼠？它已经跟死了没差了！
Encounet_Progression_Creature30,泥沼蟹来了，准备战斗。
Encounet_Progression_Creature31,啊啊！那头狂尸鬼漫游者向我爬了过来！
Encounet_Progression_Creature32,狂尸鬼漫游者来了，准备战斗。
Encounet_Progression_Creature33,一只巨型辐射蝎？难道普通大小的蝎子还不够糟吗！到此为止了！
Encounet_Progression_Creature34,巨型辐射蝎来了，准备战斗。
Encounet_Progression_Creature35,我希望我能应付这只泥沼蟹猎杀者！它朝我飞快地冲来！
Encounet_Progression_Creature36,泥沼蟹猎杀者来了，准备战斗。
Encounet_Progression_Creature37,那条恶犬闻到了我的味道！在拼出个你死我活之前它是不会罢休的！
Encounet_Progression_Creature38,恶犬来了，准备战斗。
Encounet_Progression_Creature39,朝我爬了过来！我不认为它是想要个抱抱！
Encounet_Progression_Creature4,鼹鼠来了，准备战斗。
Encounet_Progression_Creature40,多脚怪来了，准备战斗。
Encounet_Progression_Creature41,如果我粗心大意，狂尸鬼掠夺者会把我撕碎！
Encounet_Progression_Creature42,狂尸鬼掠夺者来了，准备战斗。
Encounet_Progression_Creature43,我怎样才能从死亡爪的攻击下存活下来？！
Encounet_Progression_Creature44,死亡爪来了，准备战斗。
Encounet_Progression_Creature45,英克雷死亡爪被训练成杀戮机器，这将会是场拼死的搏斗！
Encounet_Progression_Creature46,英克雷死亡爪来了，准备战斗。
Encounet_Progression_Creature47,在这个超级变种人看来，所有人类都不过是弱小的臭虫，所以他想杀了我！
Encounet_Progression_Creature48,超级变种人来了，准备战斗。
Encounet_Progression_Creature49,一个超级变种人大师！这家伙可不是开玩笑的……但是我准备好了！
Encounet_Progression_Creature5,像拍死小昆虫那样拍死这只肿头蛾！
Encounet_Progression_Creature50,超级变种人大师来了，准备战斗。
Encounet_Progression_Creature51,超级变种人霸主是他们这一类中最强壮的！幸运的话，我能活下来！
Encounet_Progression_Creature52,超级变种人霸主来了，准备战斗。
Encounet_Progression_Creature53,一头超级变种巨兽？没开玩笑吧？这就像是在跟一座大楼战斗！
Encounet_Progression_Creature54,超级变种巨兽来了，准备战斗。
Encounet_Progression_Creature6,肿头蛾来了，准备战斗。
Encounet_Progression_Creature7,我会把这只辐射蟑螂踩扁的，完全不用担心！
Encounet_Progression_Creature8,辐射蟑螂来了，准备战斗。
Encounet_Progression_Creature9,这只妖怪蓄势待发！它把我当成了午餐！
Encounet_Progression_Location1,试图找到一条通往广播塔的路。
Encounet_Progression_Location10,很久很久没有人在这里吃过东西了。
Encounet_Progression_Location11,这个地方看上去被封锁了，但我应该能找条路进去。
Encounet_Progression_Location12,这地方的人看上去一点也不友善，我得小心处事。
Encounet_Progression_Location13,一场合成人和超级变种人的战斗把我困在了一个有化学工作站的房间。
Encounet_Progression_Location14,似乎有一只死亡爪把这座博物馆当成了自己的家！
Encounet_Progression_Location15,工厂的大部分地方都被淹没了。我要潜到水下去才能探索所有地方。
Encounet_Progression_Location16,我在里面发现了一扇堵住的门。这儿有把斧子，我可以用它把门劈开。
Encounet_Progression_Location17,主楼层什么也没有。向地下室前进。
Encounet_Progression_Location2,尝试躲开那些掠夺者。
Encounet_Progression_Location3,搜索废弃小屋。
Encounet_Progression_Location4,尝试撬开冰箱门。
Encounet_Progression_Location5,尝试打开保险箱。
Encounet_Progression_Location6,尝试打开通往大无敌超市的门。
Encounet_Progression_Location7,这些奴隶杀了他们的主人之后，现在正在逃亡。
Encounet_Progression_Location8,尝试解放这些奴隶。
Encounet_Progression_Location9,探索加油站。
Encounet_Progression_NPC1,逃亡的奴隶被击中了腿，他走不了多远了。
Encounet_Progression_NPC10,他需要护理，我也许能帮他。
Encounet_Progression_NPC2,尝试给受伤的警长做些包扎，他现在非常痛苦。
Encounet_Progression_NPC3,这个尸鬼丑陋无比，但是一点儿也不凶猛。实际上，她看上去十分友好。
Encounet_Progression_NPC4,商人对以物换物的交易十分感兴趣。
Encounet_Progression_NPC5,鹰爪公司的佣兵十分谨慎，但并没有敌意。
Encounet_Progression_NPC6,猎人在追踪一头妖怪，并且他需要帮忙。
Encounet_Progression_NPC7,醉汉愿意分我一杯酒。
Encounet_Progression_NPC8,尝试让兄弟会侦察队相信我没有恶意。
Encounet_Progression_NPC9,我正带一个迷路的农民去最近的住所。
Encounter_Defeat_Creature1,野狗咬伤了我的腿！只能跛着脚走了！
Encounter_Defeat_Creature10,辐射蝎差点就用刺刺穿了我！真是够了！
Encounter_Defeat_Creature11,巨型兵蚁伤到了我！我正在流血……以及逃跑！
Encounter_Defeat_Creature12,火蚁士兵把我的衣服点着了！我打不过它！
Encounter_Defeat_Creature13,护卫犬完全不想让我通过！撤退吧！
Encounter_Defeat_Creature14,火蚁勇士把我烧得很惨！该跑路去处理伤口了！
Encounter_Defeat_Creature15,我的头差点被泥沼蟹用螯剪了下来！逃跑中！
Encounter_Defeat_Creature16,狂尸鬼漫游者疯狂地攻击我！我还是跑吧！
Encounter_Defeat_Creature17,我不肯能打得过这只巨型辐射蝎并存活下来！是时候跑路了！
Encounter_Defeat_Creature18,泥沼蟹追猎者的行动速度太快了！要么就跑路，要么就等死！
Encounter_Defeat_Creature19,恶犬在我来得及作出反应之前就咬了我！我负伤逃跑了！
Encounter_Defeat_Creature2,鼹鼠咬破了我的靴子！在我丢了自己的脚之前赶紧逃吧！
Encounter_Defeat_Creature20,多脚怪又丑又危险！我最好还是逃吧！
Encounter_Defeat_Creature21,狂尸鬼掠夺者太强大了，完全无法战胜！我差点就没能活着逃走！
Encounter_Defeat_Creature22,与死亡爪作战？我一定是疯了！我得赶紧跑！
Encounter_Defeat_Creature23,英克雷死亡爪被训练来清除一切挡道的东西！我得赶紧跑！
Encounter_Defeat_Creature24,我不可能打败这个超级变种人！是时候跑路了！
Encounter_Defeat_Creature25,看来与超级变种人大师作战是一个非常愚蠢的主意！赶紧跑吧！
Encounter_Defeat_Creature26,超级变种人霸主太强大了！我得试试能不能跑掉！
Encounter_Defeat_Creature27,不可能打败这头超级变种巨兽！只能逃跑了！
Encounter_Defeat_Creature3,我还没准备好应付肿头蛾的刺！是时候跑了！
Encounter_Defeat_Creature4,辐射蟑螂速度太快了！我受够了！
Encounter_Defeat_Creature5,我真是疯了才会去惹这头妖怪！希望能逃走！
Encounter_Defeat_Creature6,狂尸鬼比看上去要强壮多了！我得离开这！
Encounter_Defeat_Creature7,巨蚁在我的手臂上狠狠咬了一口！我逃了！
Encounter_Defeat_Creature8,拾荒者的狗太顽强了！我打不过它！
Encounter_Defeat_Creature9,巨型工蚁十分无情！没必要与它战斗！
Encounter_Defeat_Location1,无线电发射塔的入口被完全堵住了，没有办法进去。
Encounter_Defeat_Location10,我在废弃的餐厅找到了掠夺者的迹象，最好赶紧离开。
Encounter_Defeat_Location11,二楼的一扇窗户可能进得去，但我够不到。
Encounter_Defeat_Location12,我不小心侮辱了其中一个商人，我得冒着枪林弹雨逃跑了。
Encounter_Defeat_Location13,我混合了错误的化学品，弄出了一片烟雾，但至少这掩护了我的逃离。
Encounter_Defeat_Location14,我逃上了后楼梯，从一扇窗户爬了下去，安全了。
Encounter_Defeat_Location15,我没法长时间屏气，所以慌慌忙忙地返回了。
Encounter_Defeat_Location16,斧头太重了，我没法把它举到足够的高度来挥出有力的一击。
Encounter_Defeat_Location17,一群泥沼蟹抢在我之前行动了。我差点就没逃出来。
Encounter_Defeat_Location2,掠夺者发现了我！我得跑了。
Encounter_Defeat_Location3,废弃小屋里什么也没有，是时候前进了。
Encounter_Defeat_Location4,冰箱门卡住了，我没办法把它撬开。
Encounter_Defeat_Location5,我不会开锁，所以我永远都无法知道里面有什么了……
Encounter_Defeat_Location6,我撬不开锁，还是放弃探索大无敌超市吧。
Encounter_Defeat_Location7,奴隶们不信任我，他们全跑了。
Encounter_Defeat_Location8,奴隶营守卫森严，我无法凭一己之力帮助那些穷人。
Encounter_Defeat_Location9,加油站被搜刮干净了，连油桶都空了。
Encounter_Defeat_NPC1,奴隶的腿溃烂了，我什么忙也帮不上。
Encounter_Defeat_NPC10,不，我错了，修复巧手先生对我来说太需要技巧了。
Encounter_Defeat_NPC2,血太多了，我完全止不住。恐怕警长支撑不了多久了。
Encounter_Defeat_NPC3,大概我没有自己想的那么有魅力，尸鬼拒绝再跟我交谈。
Encounter_Defeat_NPC4,看来我得寸进尺了，商人不太喜欢我提出的交易。
Encounter_Defeat_NPC5,鹰爪公司佣兵举起了枪并警告我离开，我照做了。
Encounter_Defeat_NPC6,我无法定位妖怪的位置，猎人觉得我一点用都没有。
Encounter_Defeat_NPC7,醉汉认为我喝得太多了，他拿着酒瓶愤怒地离开了。
Encounter_Defeat_NPC8,兄弟会侦察队不信任我。他们命令我离开，否则就开枪。
Encounter_Defeat_NPC9,我找不到住所。迷路的农民的情况更加糟糕了。
Encounter_Defeat_Repeatable_JunkLocation1,我做不到，我不够强大。
Encounter_Defeat_Repeatable_JunkLocation10,这令他们更加愤怒了，我在避开它们跑向出口的时候被抓伤了。
Encounter_Defeat_Repeatable_JunkLocation11,它还在跑，但我精疲力尽了，现在不可能追得上它。
Encounter_Defeat_Repeatable_JunkLocation12,我平安无事地逃到了距离最近的森林。
Encounter_Defeat_Repeatable_JunkLocation2,真是手贱！我跑出去的同时，身后的建筑都慢慢倒塌了。
Encounter_Defeat_Repeatable_JunkLocation3,我没办法靠得太近，湖中的辐射污染让我直犯恶心。
Encounter_Defeat_Repeatable_JunkLocation4,这间房的安保措施太先进了，我没法打开它。
Encounter_Defeat_Repeatable_JunkLocation5,我没注意到那个刀片陷阱，它差点把我的头削下来。我最好往回跑吧。
Encounter_Defeat_Repeatable_JunkLocation6,没用，他们不肯开门。我猜我最好继续前进。
Encounter_Defeat_Repeatable_JunkLocation7,踩到了一串锡罐，赶紧跑！
Encounter_Defeat_Repeatable_JunkLocation8,这儿什么也没了。我不感到惊讶，但它仍然令我十分沮丧。
Encounter_Defeat_Repeatable_JunkLocation9,这是一次注定失败的行动，我完全理不清这些线和电容。
Encounter_Effect_Damage,受到了{0}伤害。
Encounter_Effect_Experience,得到了{0}经验。
Encounter_Effect_Gear,找到了一个{0}。
Encounter_Effect_Item,还找到了{0}。
Encounter_Effect_Radiation,受到了{0}点辐射伤害
Encounter_Intro_Creature1,观察到{0}
Encounter_Intro_Creature2,检测到{0}
Encounter_Intro_Creature3,鉴定出{0}
Encounter_Intro_Creature4,发现{0}
Encounter_Intro_Creature5,找到{0}
Encounter_Intro_Creature6,看到{0}
Encounter_Intro_Location1,定位了{0}
Encounter_Intro_Location2,找到{0}
Encounter_Intro_Location3,来到{0}
Encounter_Intro_Location4,到达{0}
Encounter_Intro_Location5,发现{0}
Encounter_Intro_Location6,蹒跚穿过{0}
Encounter_Intro_NPC1,检测到{0}
Encounter_Intro_NPC2,遇到{0}
Encounter_Intro_NPC3,定位了{0}
Encounter_Intro_NPC4,找到{0}
Encounter_Intro_NPC5,发现{0}
Encounter_Intro_NPC6,遇到{0}
Encounter_Journal_Message26,探索者日志。最新记录：俏男孩夹心蛋糕很好地维持了生计。
Encounter_Journal_Message27,探索者日志。最新记录：无论是谁，取名叫“死亡爪”，都不是闹着玩儿的。
Encounter_Journal_Message28,探索者日志。最新记录：基础公共设施全部被拆。
Encounter_Journal_Message29,探索者日志。最新记录：在废土，随便信任别人只会让你身陷死亡威胁。
Encounter_Journal_Message30,探索者日志。最新记录：一些战前机器人保存了下来，但是程序经常出错。
Encounter_Journal_Message31,探索者日志。最新记录：旧的正派宗教大多都消失了，取而代之的都是些邪教。
Encounter_Journal_Message32,探索者日志。最新记录：每个人都全副武装，枪支早就司空见惯了。
Encounter_Journal_Message33,探索者日志。最新记录：时尚已经灭绝了，什么能让你活命你就穿什么。
Encounter_Journal_Message34,探索者日志。最新记录：电视已经没用了，无线电广播倒是变得常见了。
Encounter_Journal_Message35,探索者日志。最新记录：旧建筑里面有补给，但是通常被保护起来了。
Encounter_Journal_Message36,探索者日志。最新记录：放眼望去，看到的都是死亡、痛苦，以及……希望。
Encounter_Journal_Message37,探索者日志。最新记录：我见到了许多孩子，家庭。生活还在继续。
Encounter_Journal_Message38,探索者日志。最新记录：婚姻仍然很常见，你无法扼杀爱情。
Encounter_Journal_Message39,探索者日志。最新记录：辐射蝎。毒刺加巨螯能让你一命呜呼。
Encounter_Journal_Message40,探索者日志。最新记录：撬锁是通行的必备技能。
Encounter_Journal_Message41,探索者日志。最新记录：对于许多仍在运作的终端机，入侵系统成了必然。
Encounter_Journal_Message42,探索者日志。最新记录：想要生存下来，医疗训练是必需的。
Encounter_Journal_Message43,探索者日志。最新记录：钢铁兄弟会热爱科技，甚至是崇拜。
Encounter_Journal_Message44,探索者日志。最新记录：练习使用各类枪支也成了必需。
Encounter_Journal_Message45,探索者日志。最新记录：音乐，绘画，舞蹈。艺术和文化存活了下来。
Encounter_Message_Creature1,一条野狗，愤怒地低吠着。
Encounter_Message_Creature10,一只辐射蝎。
Encounter_Message_Creature11,一只巨型兵蚁。
Encounter_Message_Creature12,一只火蚁士兵。
Encounter_Message_Creature13,一条护卫犬，看守着这片区域。
Encounter_Message_Creature14,一只火蚁勇士。
Encounter_Message_Creature15,一只藤壶外壳的泥沼蟹。
Encounter_Message_Creature16,一个疯狂的狂尸鬼漫游者。
Encounter_Message_Creature17,一只巨型辐射蝎
Encounter_Message_Creature18,一只泥沼蟹猎杀者
Encounter_Message_Creature19,一条恶犬，正撕扯着一具尸体。
Encounter_Message_Creature2,一只可怕的小鼹鼠。
Encounter_Message_Creature20,一头恶心的多脚怪。
Encounter_Message_Creature21,一个危险的狂尸鬼掠夺者。
Encounter_Message_Creature22,一只致命的死亡爪。
Encounter_Message_Creature23,一只英克雷死亡爪。
Encounter_Message_Creature24,一个超级变种人。
Encounter_Message_Creature25,一个超级变种人大师。
Encounter_Message_Creature26,一个超级变种人霸主。
Encounter_Message_Creature27,一只庞大的超级变种巨兽。
Encounter_Message_Creature3,一只肿头蛾在很近的地方嗡嗡作响。
Encounter_Message_Creature4,一只恶心的辐射蟑螂。
Encounter_Message_Creature5,一只吓人的妖怪！
Encounter_Message_Creature6,一只游荡的狂尸鬼。
Encounter_Message_Creature7,一只巨蚁。
Encounter_Message_Creature8,一只拾荒者的狗，嗅着残骸。
